"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=primates&show=ref"
"Access Time","Mon 2023-03-13 21:35:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","timerule","major"
"","taxon_status","all"
"","show","ref"
"Elapsed Time","0.00432"
"Records Found","2322"
"Records Returned","2322"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no","primary_reference"
"130","spm","N","0","0","","","","","","m1","","1","","","Bown 1982","Alveojunctus minutus","species","43951","","Alveojunctus minutus","species","43951","","","1115","T. M. Bown. 1982. Geology, Paleontology, and Correlation of Eocene Volcaniclastic Rocks, Southeast Absaroka Range, Hot Springs County, Wyoming. United States Geological Survey Professional Paper 1201-A:A1-A75"
"161","spm","N","0","0","","","","","","m1","","1","","","Gazin 1958a (Cope 1872)","Anaptomorphus aemulus","species","44020","","Anaptomorphus aemulus","species","44020","","","1613","C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112"
"162","spm","N","0","0","","","","","","m1","","7","","","Gunnell 1995a (Bridger A)","Anaptomorphus westi","species","44026","","Anaptomorphus westi","species","44026","","","1732","G. F. Gunnell. 1995. Omomyid primates (Tarsiiformes) from the Bridger Formation, middle Eocene, southern Green River Basin, Wyoming. Journal of Human Evolution 28"
"163","spm","N","0","0","","","","","","m1","","1","","","Muldoon and Gunnell 2002 (UM SP-117)","Anaptomorphus westi","species","44026","","Anaptomorphus westi","species","44026","","","7527","K. M. Muldoon and G. F. Gunnell. 2002. Omomyid primates (Tarsiiformes) from the Early Middle Eocene at South Pass, Greater Green River Basin, Wyoming. Journal of Human Evolution 43(4):479-511"
"164","spm","N","0","0","","","","","","m1","","4","","","Gazin 1958a","Anaptomorphus wortmani","species","44027","subjective synonym of","Anaptomorphus aemulus","species","44020","","","1613","C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112"
"171","spm","N","0","0","","","holotype","","","m1","","1","","","Beard et al. 1992 (type)","Anemorhysis natronensis","species","44086","","Anemorhysis natronensis","species","44086","","","8850","J. Alroy. 2000. New methods for quantifying macroevolutionary patterns and processes. Paleobiology 26(4):707-733"
"172","spm","N","0","0","","","holotype","","","m1","","1","","","Bown and Rose 1984 (type: see also Bown and Rose 1987)","Anemorhysis pattersoni","species","44087","","Anemorhysis pattersoni","species","44087","","","1122","T. M. Bown and K. D. Rose. 1984. Reassessment of Some Early Eocene Omomyidae, with Description of a New Genus and Three New Species. Folia Primatologica 43"
"173","spm","N","0","0","","","","","","m1","","1","","","Bown and Rose 1987","Anemorhysis pattersoni","species","44087","","Anemorhysis pattersoni","species","44087","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"174","spm","N","0","0","","","holotype","","","m1","","1","","","Bown and Rose 1984 (type: see also Gazin 1962)","Anemorhysis pearcei","species","44088","recombined as","Tetonoides pearcei","species","52200","","","1122","T. M. Bown and K. D. Rose. 1984. Reassessment of Some Early Eocene Omomyidae, with Description of a New Genus and Three New Species. Folia Primatologica 43"
"175","spm","N","0","0","","","holotype","","","m1","","1","","","Bown and Rose 1984 (type: Gazin 1952)","Anemorhysis sublettensis","species","44089","","Anemorhysis sublettensis","species","49953","","","1122","T. M. Bown and K. D. Rose. 1984. Reassessment of Some Early Eocene Omomyidae, with Description of a New Genus and Three New Species. Folia Primatologica 43"
"176","spm","N","0","0","","","","","","m1","","4","","","Szalay 1976 (Wasatchian: apparently includes Bitter Creek specimen of Gazin 1962)","Anemorhysis tenuiculus","species","44090","recombined as","Teilhardina tenuicula","species","52196","","","3353","F. S. Szalay. 1976. Systematics of the Omomyidae (Tarsiiformes, Primates) : taxonomy, phylogeny, and adaptations. Bulletin of the American Museum of Natural History 156(3)"
"177","spm","N","0","0","","","holotype","","","m1","","1","","","Bown and Rose 1984 (type: see also Bown and Rose 1987)","Anemorhysis wortmani","species","44091","","Anemorhysis wortmani","species","44091","","","1122","T. M. Bown and K. D. Rose. 1984. Reassessment of Some Early Eocene Omomyidae, with Description of a New Genus and Three New Species. Folia Primatologica 43"
"178","spm","N","0","0","","","","","","m1","","1","","","Bown and Rose 1987","Anemorhysis wortmani","species","44091","","Anemorhysis wortmani","species","44091","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"179","spm","","170976","0","15669","","","","","m1","","1","","","Zonneveld et al. 2000 (UM BB-110)","Anemorhysis wortmani","species","44091","","Anemorhysis wortmani","species","44091","55.8","46.2","3806","J.-P. Zonneveld, G. F. Gunnell, and W. S. Bartels. 2000. Early Eocene fossil vertebrates from the southwestern Green River Basin, Lincoln and Uinta counties, Wyoming. Journal of Vertebrate Paleontology 20(2):369-386"
"221","spm","N","0","0","","","holotype","","","m1","","1","","","Granger and Gregory 1917 (type: Grizzly Buttes West)","Aphanolemur gibbosus","species","44156","subjective synonym of","Smilodectes gracilis","species","47166","","","1698","W. Granger and W. K. Gregory. 1917. A revision of the Eocene primates of the genus Notharctus. Bulletin of the American Museum of Natural History 37(34)"
"244","spm","","169768","0","15537","","","","","m1","","3","","","Rose 1995 (USGS D-1762)","Arapahovius advena","species","44206","","Arapahovius advena","species","44206","55.8","50.3","2959","K. D. Rose. 1995. Anterior dentition and relationships of the early Eocene omomyids Arapahovius advena and Teilhardina demissa, sp. nov. Journal of Human Evolution 28"
"274","spm","N","0","0","","","","","","m1","","5","","","Gunnell 1985 (Clark's Fork Basin)","Arctodontomys nuptus","species","44271","","Arctodontomys nuptus","species","49751","","","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"275","spm","N","0","0","","","","","","m1","","5","","","Gunnell 1985 (Clark's Fork Basin)","Arctodontomys simplicidens","species","44272","","Arctodontomys simplicidens","species","48558","","","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"276","spm","","171404","0","15738","","","","","m1","","17","","","Gunnell 1985 (Clark's Fork Basin)","Arctodontomys wilsoni","species","44273","","Arctodontomys wilsoni","species","48565","55.8","50.3","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"277","spm","N","0","0","","","","","","m1","","1","","","Gingerich 1989","Arctodontomys wilsoni","species","44273","","Arctodontomys wilsoni","species","48565","","","1657","P. D. Gingerich. 1989. New earliest Wasatchian mammalian fauna from the Eocene of northwestern Wyoming: composition and diversity in a rarely sampled high-floodplain assemblage. University of Michigan Papers on Paleontology 28:1-97"
"296","spm","N","0","0","","","","","","m1","","3","","","Muldoon and Gunnell 2002 (South Pass)","Artimonius nocerai","species","44326","","Artimonius nocerai","species","43692","","","7527","K. M. Muldoon and G. F. Gunnell. 2002. Omomyid primates (Tarsiiformes) from the Early Middle Eocene at South Pass, Greater Green River Basin, Wyoming. Journal of Human Evolution 43(4):479-511"
"297","spm","N","0","0","","","","","","m1","","1","","","Muldoon and Gunnell 2002 (UM SP-64)","Artimonius witteri","species","44327","","Artimonius witteri","species","43694","","","7527","K. M. Muldoon and G. F. Gunnell. 2002. Omomyid primates (Tarsiiformes) from the Early Middle Eocene at South Pass, Greater Green River Basin, Wyoming. Journal of Human Evolution 43(4):479-511"
"298","spm","N","0","0","","","","","","m1","","1","","","Muldoon and Gunnell 2002 (UM SP-40)","Artimonius witteri","species","44327","","Artimonius witteri","species","43694","","","7527","K. M. Muldoon and G. F. Gunnell. 2002. Omomyid primates (Tarsiiformes) from the Early Middle Eocene at South Pass, Greater Green River Basin, Wyoming. Journal of Human Evolution 43(4):479-511"
"319","spm","N","0","0","","","","","","m1","","1","","","Bown and Rose 1987 (Bown 1982)","Aycrossia lovei","species","44399","","Aycrossia lovei","species","44399","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"533","spm","N","0","0","","","","","","m1","","1","","","Rose et al. 1999 (USGS D-2003)","Cantius abditus","species","44892","","Cantius abditus","species","50080","","","2977","K. D. Rose, R. D. E. MacPhee, and J. P. Alexander. 1999. Skull of early Eocene Cantius abditus (primates: Adapiformes) and its phylogenetic implications, with a reevaluation of “Hesperolemur” actius. American Journal of Physical Anthropology 109:523-539"
"534","spm","N","0","0","","","holotype","","","m1","","1","","","Beard 1988b (type: Cope 1875)","Cantius angulatus","species","44894","","Cantius angulatus","species","50081","","","1036","K. C. Beard. 1988. New notharctine primate fossils from the early Eocene of New Mexico and southern Wyoming and the phylogeny of Notharctinae. American Journal of Physical Anthropology 75(4):439-469"
"535","spm","N","0","0","","","","","","m1","","3","","","Beard 1988b (San Jose Fm.)","Cantius angulatus","species","44894","","Cantius angulatus","species","50081","","","1036","K. C. Beard. 1988. New notharctine primate fossils from the early Eocene of New Mexico and southern Wyoming and the phylogeny of Notharctinae. American Journal of Physical Anthropology 75(4):439-469"
"536","spm","N","0","0","","","","","","m1","","5","","","Beard 1988b (San Jose Fm.)","Cantius frugivorus","species","44896","","Cantius frugivorus","species","50083","","","1036","K. C. Beard. 1988. New notharctine primate fossils from the early Eocene of New Mexico and southern Wyoming and the phylogeny of Notharctinae. American Journal of Physical Anthropology 75(4):439-469"
"537","spm","N","0","0","","","","","","m1","","1","","","Davidson 1987 (Cooper Lake)","Cantius mckennai","species","44897","","Cantius mckennai","species","50085","","","1333","J. R. Davidson. 1987. Geology and mammalian paleontology of the Wind River Formation, Laramie Basin, southeastern Wyoming. Contributions to Geology, University of Wyoming 25(2):103-132"
"538","spm","N","0","0","","","","","","m1","","12","","","Gunnell 2002 (South Pass)","Cantius nunienus","species","44898","","Cantius nunienus","species","50086","","","7526","G. F. Gunnell. 2002. Notharctine primates (Adapiformes) from the early to middle Eocene (Wasatchian-Bridgerian) of Wyoming: transitional species and the origins of Notharctus and Smilodectes. Journal of Human Evolution 43(3):353-380"
"539","spm","N","0","0","","","","","","m1","","75","","","Gunnell 2002 (CM Wind River Basin)","Cantius nunienus","species","44898","","Cantius nunienus","species","50086","","","7526","G. F. Gunnell. 2002. Notharctine primates (Adapiformes) from the early to middle Eocene (Wasatchian-Bridgerian) of Wyoming: transitional species and the origins of Notharctus and Smilodectes. Journal of Human Evolution 43(3):353-380"
"540","spm","N","0","0","","","holotype","","","m1","","1","","","Gunnell 2002 (type: UM MP-78)","Cantius simonsi","species","44900","","Cantius simonsi","species","44900","","","7526","G. F. Gunnell. 2002. Notharctine primates (Adapiformes) from the early to middle Eocene (Wasatchian-Bridgerian) of Wyoming: transitional species and the origins of Notharctus and Smilodectes. Journal of Human Evolution 43(3):353-380"
"541","spm","N","0","0","","","","","","m1","","1","","","Gingerich 1995b (type of Gingerich 1986a)","Cantius torresi","species","44901","","Cantius torresi","species","44901","","","1663","P. D. Gingerich. 1995. Sexual Dimorphism in Earliest Eocene Cantis torresi (Mammalia, Primates, Adapoidea). Contributions from the Museum of Paleontology, University of Michigan 29(8):185-199"
"542","spm","","171562","0","15759","","","","","m1","","3","","","Gingerich 1995b (SC-67: updates Gingerich 1989)","Cantius torresi","species","44901","","Cantius torresi","species","44901","55.8","50.3","1663","P. D. Gingerich. 1995. Sexual Dimorphism in Earliest Eocene Cantis torresi (Mammalia, Primates, Adapoidea). Contributions from the Museum of Paleontology, University of Michigan 29(8):185-199"
"551","spm","","165932","522","14964","","holotype","","","m1","","1","","","Beard 2000 (type: Ledge)","Carpodaptes rosei","species","44944","","Carpodaptes rosei","species","44944","61.7","56.8","1039","K. C. Beard. 2000. A new species of Carpocristes (Mammalia: Primatomorpha) from the middle Tiffanian of the Bison Basin, Wyoming, with notes on carpolestid phylogeny. Annals of Carnegie Museum 69(3):195-208"
"555","spm","","165971","0","14967","","holotype","","","m1","","1","","","Simpson 1935c (type: Mason Pocket)","Carpodaptes aulacodon","species","44937","","Carpodaptes aulacodon","species","44937","61.7","56.8","3139","G. G. Simpson. 1935. The Tiffany fauna, Upper Paleocene. 3, Primates, Carnivora, Condylarthra, and Amblypoda. American Museum Novitates 817"
"556","spm","","166390","10010","15024","","","","","m1","","5","","","Bloch et al. 2001 (Divide Quarry)","Carpodaptes stonleyi","species","44945","","Carpodaptes stonleyi","species","44945","58.7","55.8","3870","J. I. Bloch, D. C. Fisher, and K. D. Rose, P. D. Gingerich. 2001. Stratocladistic analysis of Paleocene Carpolestidae (Mammalia, Plesiadapiformes) with description of a new late Tiffanian genus. Journal of Vertebrate Paleontology 21(1):119-131"
"557","spm","","166204","0","14995","","","","","m1","","2","","","Fox 2002b (Swan Hills Site 1)","Carpolestes cygneus","species","44947","recombined as","Carpodaptes cygneus","species","44947","61.7","56.8","7175","R. C. Fox. 2002. The dentition and relationships of Carpodaptes cygneus (Russell) (Carpolestidae, Plesiadapiformes, Mammalia), from the late Paleocene of Alberta, Canada. Journal of Paleontology 76(5):864-881"
"558","spm","","166682","0","15064","","holotype","","","m1","","41","","","Simpson 1937b (type: Scarritt Quarry; includes type; updates Simpson 1936c)","Carpodaptes hazelae","species","44940","","Carpodaptes hazelae","species","44940","61.7","56.8","3145","G. G. Simpson. 1937. Additions to the Upper Paleocene fauna of the Crazy Mountain field. American Museum Novitates 940"
"559","spm","","166055","10009","14978","","","","","m1","","35","","","Krause 1978 (""C. cygneus"": Roche Percee)","Carpodaptes stonleyi","species","44945","","Carpodaptes stonleyi","species","44945","61.7","56.8","2156","D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15"
"560","spm","N","0","0","","","","","","m1","","23","","","Rose 1975 (Princeton Quarry)","Carpolestes dubius","species","44948","","Carpolestes dubius","species","44948","","","8850","J. Alroy. 2000. New methods for quantifying macroevolutionary patterns and processes. Paleobiology 26(4):707-733"
"561","spm","N","0","0","","","","","","m1","","17","","","Bloch and Gingerich 1998 (apparently includes most of ""C. nigridens"" sample of Rose 1981)","Carpolestes simpsoni","species","44951","","Carpolestes simpsoni","species","44951","","","1099","J. I. Bloch and P. D. Gingerich. 1998. Carpolestes simpsoni, New Species (Mammalia, Proprimates) from the Late Paleocene of the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 30(4):131-162"
"562","spm","","166389","616","15024","","","","","m1","","5","","","Bloch et al. 2001 (Divide Quarry)","Carpomegodon jepseni","species","44952","recombined as","Carpodaptes jepseni","species","44942","58.7","55.8","3870","J. I. Bloch, D. C. Fisher, and K. D. Rose, P. D. Gingerich. 2001. Stratocladistic analysis of Paleocene Carpolestidae (Mammalia, Plesiadapiformes) with description of a new late Tiffanian genus. Journal of Vertebrate Paleontology 21(1):119-131"
"608","spm","N","0","0","","","","","","m1","","1","","","Beard and Houde 1989","Chalicomomys antelucanus","species","45046","","Chalicomomys antelucanus","species","45046","","","1042","K. C. Beard and P. Houde. 1989. An unusual assemblage of diminutive plesiadapiforms (Mammalia, ?Primates) from the early Eocene of the Clark's Fork Basin, Wyoming. Journal of Vertebrate Paleontology 9(4):388-399"
"609","spm","","172320","2187","15883","","","","","m1","","1","","","Robinson 1994 (UCM 84126)","Micromomys willwoodensis","species","48520","recombined as","Dryomomys willwoodensis","species","48520","55.8","50.3","2926","P. Robinson. 1994. Myrmekomomys, a new genus of Micromomyine (Mammalia, ?Microsyopidae) from the lower Eocene rocks of the Powder River Basin, Wyoming. Contributions to Geology, University of Wyoming 30(1):85-90"
"612","spm","","175796","0","16572","","","","","m1","","1","","","Rasmussen 1996 (Gnat-Out-Of-Hell)","Chipetaia lamporea","species","45056","","Chipetaia lamporea","species","45056","46.2","40.4","2834","D. T. Rasmussen. 1996. A new Middle Eocene omomyine primate from the Uinta Basin, Utah. Journal of Human Evolution 31"
"613","spm","N","0","0","","","","","","m1","","1","","","Winterfeld 1982 (Rock Springs Uplift)","Chiromyoides caesor","species","45057","","Chiromyoides caesor","species","45057","","","3716","G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112"
"614","spm","","165597","0","14936","","","","","m1","","1","","","Gingerich and Dorr 1979 (Chappo Type Locality)","Chiromyoides minor","species","45059","","Chiromyoides minor","species","45059","61.7","56.8","1667","P. D. Gingerich and J. A. Dorr, Jr. 1979. Mandible of Chiromyoides minor (Mammalia, Primates) from the Upper Paleocene Chappo Member of the Wasatch Formation, Wyoming. Journal of Paleontology 53(3)"
"615","spm","","165852","36951","14956","","","","","m1","","1","","","Schiebout 1974 (one specimen of ""Plesiadapis gidleyi"": Joe's Bonebed; see Gingerich 1976)","Chiromyoides","genus","40734","","Chiromyoides","genus","40734","63.3","61.7","3024","J. A. Schiebout. 1974. Vertebrate paleontology and paleoecology of Paleocene Black Peaks Formation, Big Bend National Park, Texas. Texas Memorial Museum Bulletin 24:1-88"
"617","spm","N","0","0","","","","","","m1","","1","","","Gazin 1962","Chlororhysis knightensis","species","45067","","Chlororhysis knightensis","species","45067","","","1616","C. L. Gazin. 1962. A Further Study Of The Lower Eocene Mammalian Faunas Of Southwestern Wyoming. Smithsonian Miscellaneous Collections 144(1):1-98"
"628","spm","N","0","0","","","","","","m1","","2","","","Gazin 1958a (Stock 1933)","Chumashius balchi","species","45097","","Chumashius balchi","species","45097","","","1613","C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112"
"707","spm","N","0","0","","","holotype","","","m1","","1","","","Beard 1988b (type)","Copelemur australotutus","species","45235","","Copelemur australotutus","species","45235","","","1036","K. C. Beard. 1988. New notharctine primate fossils from the early Eocene of New Mexico and southern Wyoming and the phylogeny of Notharctinae. American Journal of Physical Anthropology 75(4):439-469"
"708","spm","N","0","0","","","","","","m1","","10","","","Gunnell 2002 (UMMP)","Copelemur australotutus","species","45235","","Copelemur australotutus","species","45235","","","7526","G. F. Gunnell. 2002. Notharctine primates (Adapiformes) from the early to middle Eocene (Wasatchian-Bridgerian) of Wyoming: transitional species and the origins of Notharctus and Smilodectes. Journal of Human Evolution 43(3):353-380"
"709","spm","N","0","0","","","holotype","","","m1","","1","","","Gingerich and Simons 1977 (type: Alkali Creek)","Copelemur consortutus","species","45236","subjective synonym of","Cantius nunienus","species","50086","","","1675","P. D. Gingerich and E. L. Simons. 1977. Systematics, phylogeny, and evolution of early Eocene Adapidae (Mammalia, Primates) in North America. Contributions from the Museum of Paleontology, University of Michigan 24(22):245-279"
"710","spm","N","0","0","","","","","","m1","","4","","","Gingerich and Simons 1977 (Alkali Creek)","Copelemur consortutus","species","45236","subjective synonym of","Cantius nunienus","species","50086","","","1675","P. D. Gingerich and E. L. Simons. 1977. Systematics, phylogeny, and evolution of early Eocene Adapidae (Mammalia, Primates) in North America. Contributions from the Museum of Paleontology, University of Michigan 24(22):245-279"
"711","spm","N","0","0","","","holotype","","","m1","","2","","","Gingerich and Simons 1977 (Lysite Mbr.: includes type)","Copelemur feretutus","species","45237","subjective synonym of","Cantius frugivorus","species","50083","","","1675","P. D. Gingerich and E. L. Simons. 1977. Systematics, phylogeny, and evolution of early Eocene Adapidae (Mammalia, Primates) in North America. Contributions from the Museum of Paleontology, University of Michigan 24(22):245-279"
"712","spm","N","0","0","","","","","","m1","","1","","","Kihm 1984 (Piceance Creek Basin)","Copelemur praetutus","species","45238","","Copelemur praetutus","species","50087","","","2078","A. J. Kihm. 1984. Early Eocene Mammalian Fauna of the Piceance Creek Basin. Northwestern Colorado.. Boulder: University of Colorado."
"713","spm","N","0","0","","","holotype","","","m1","","3","","","Beard 1988b (Wasatch Fm.: includes type; see also Gingerich and Simons 1977)","Copelemur praetutus","species","45238","","Copelemur praetutus","species","50087","","","1036","K. C. Beard. 1988. New notharctine primate fossils from the early Eocene of New Mexico and southern Wyoming and the phylogeny of Notharctinae. American Journal of Physical Anthropology 75(4):439-469"
"714","spm","N","0","0","","","","","","m1","","10","","","Gunnell 2002 (UMMP)","Copelemur praetutus","species","45238","","Copelemur praetutus","species","50087","","","7526","G. F. Gunnell. 2002. Notharctine primates (Adapiformes) from the early to middle Eocene (Wasatchian-Bridgerian) of Wyoming: transitional species and the origins of Notharctus and Smilodectes. Journal of Human Evolution 43(3):353-380"
"715","spm","N","0","0","","","holotype","","","m1","","1","","","Gingerich and Simons 1977 (type: Cope 1877)","Copelemur tutus","species","45239","","Copelemur tutus","species","52400","","","1675","P. D. Gingerich and E. L. Simons. 1977. Systematics, phylogeny, and evolution of early Eocene Adapidae (Mammalia, Primates) in North America. Contributions from the Museum of Paleontology, University of Michigan 24(22):245-279"
"716","spm","N","0","0","","","","","","m1","","4","","","Beard 1988b (San Jose Fm.: apparently includes neotype but not type)","Copelemur tutus","species","45239","","Copelemur tutus","species","52400","","","1036","K. C. Beard. 1988. New notharctine primate fossils from the early Eocene of New Mexico and southern Wyoming and the phylogeny of Notharctinae. American Journal of Physical Anthropology 75(4):439-469"
"769","spm","","177186","0","16786","","","","","m1","","1","","","Gunnell 1989 (Sespe Fm., new specimen)","Craseops sylvestris","species","45345","","Craseops sylvestris","species","45345","46.2","40.4","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"1046","spm","N","0","0","","","","","","m1","","3","","","Szalay 1976 (Tapo Ranch: remeasured from Gazin 1958a, Stock 1934)","Dyseolemur pacificus","species","45954","","Dyseolemur pacificus","species","45954","","","3353","F. S. Szalay. 1976. Systematics of the Omomyidae (Tarsiiformes, Primates) : taxonomy, phylogeny, and adaptations. Bulletin of the American Museum of Natural History 156(3)"
"1047","spm","N","0","0","","","","","","m1","","2","","","Lillegraven 1980","Dyseolemur pacificus","species","45954","","Dyseolemur pacificus","species","45954","","","2233","J. A. Lillegraven. 1980.  Primates from Later Eocene Rocks of Southern California. Journal of Mammalogy 61(2)"
"1048","spm","","176106","3047","16615","","","","","m1","","1","","","Rasmussen et al. 1995 (Rancho del Oro)","Dyseolemur pacificus","species","45954","","Dyseolemur pacificus","species","45954","46.2","40.4","2836","D. T. Rasmussen, M. Shekelle, and S. L. Walsh, B. O. Riney. 1995. The dentition of Dyseolemur, and comments on the use of the anterior teeth in primate systematics. Journal of Human Evolution 29(4):301-320"
